,Postal Code,Borough,Neighborhood,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
74,M5R,Central Toronto,"The Annex, North Midtown, Yorkville",43.6727097,-79.40567840000001,1.0,Sandwich Place,Café,Coffee Shop,Pub,History Museum,Liquor Store,Burger Joint,Indian Restaurant,Flower Shop,BBQ Joint
75,M6R,West Toronto,"Parkdale, Roncesvalles",43.6489597,-79.456325,1.0,Gift Shop,Breakfast Spot,Coffee Shop,Cuban Restaurant,Bookstore,Dog Run,Italian Restaurant,Bar,Dessert Shop,Restaurant
76,M7R,Mississauga,Enclave of L4W,43.6369656,-79.61581899999999,1.0,Coffee Shop,Hotel,Sandwich Place,Fried Chicken Joint,Burrito Place,Intersection,Mediterranean Restaurant,American Restaurant,Middle Eastern Restaurant,Gas Station
77,M9R,Etobicoke,"Kingsview Village, St. Phillips, Martin Grove Gardens, Richview Gardens",43.6889054,-79.55472440000001,0.0,Park,Sandwich Place,Discount Store,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Distribution Center,Curling Ice
78,M1S,Scarborough,Agincourt,43.7942003,-79.26202940000002,1.0,Breakfast Spot,Lounge,Chinese Restaurant,Latin American Restaurant,Dumpling Restaurant,Drugstore,Donut Shop,Eastern European Restaurant,Doner Restaurant,Deli / Bodega
79,M4S,Central Toronto,Davisville,43.7043244,-79.3887901,1.0,Pizza Place,Sandwich Place,Dessert Shop,Café,Coffee Shop,Italian Restaurant,Gym,Sushi Restaurant,Thai Restaurant,Diner
80,M5S,Downtown Toronto,"University of Toronto, Harbord",43.6626956,-79.4000493,1.0,Café,Japanese Restaurant,Bookstore,Bar,Theater,Bakery,Pub,Dessert Shop,Restaurant,Sushi Restaurant
81,M6S,West Toronto,"Runnymede, Swansea",43.6515706,-79.4844499,1.0,Coffee Shop,Café,Sushi Restaurant,Pizza Place,Pub,Italian Restaurant,Yoga Studio,Smoothie Shop,Bank,Burrito Place
82,M1T,Scarborough,"Clarks Corners, Tam O'Shanter, Sullivan",43.7816375,-79.3043021,1.0,Pizza Place,Fast Food Restaurant,Thai Restaurant,Noodle House,Shopping Mall,Bank,Pharmacy,Gas Station,Chinese Restaurant,Italian Restaurant
83,M4T,Central Toronto,"Moore Park, Summerhill East",43.6895743,-79.38315990000001,1.0,Restaurant,Tennis Court,Women's Store,Dance Studio,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store
